cn_name,en_name,en_name,en_name
管,tube,,
盒,case,,
个,piece,,
片,piece,flat,flake
样,sample,,
张,leaf,,
块,piece,block,
孔,hole,,
板,plate,,
支,branch,,
包,pack,,
袋,sack,,
箱,box,package,
份,serving,,
人份,serving,,
瓶,bottle,,
