name,category
pIJ702-del35-55,大肠杆菌载体
pIJ702-87LE,大肠杆菌载体
pSL647,大肠杆菌载体
ppyrG,大肠杆菌载体
pGH5,大肠杆菌载体
pSVc-myc-1,大肠杆菌载体
tRNAmet,大肠杆菌载体
pSV2-neo-v-sis,大肠杆菌载体
pMKS-1-E,大肠杆菌载体
pAS32-S,大肠杆菌载体
pJHAM003,大肠杆菌载体
RM158,大肠杆菌载体
RM57,大肠杆菌载体
pAD123,大肠杆菌载体
pPK2,大肠杆菌载体
pMUTIN-CFP,大肠杆菌载体
pSV50,大肠杆菌载体
pBC-phleo,大肠杆菌载体
pLH3,大肠杆菌载体
pMSN1,大肠杆菌载体
pUC4-KISS,大肠杆菌载体
pSW103,大肠杆菌载体
pBARGPE1,大肠杆菌载体
pBARGEM7-1,大肠杆菌载体
pHV1248,大肠杆菌载体
pUCM18,大肠杆菌载体
pCSN43,大肠杆菌载体
pHL2,大肠杆菌载体
pET-28a-EGFP,大肠杆菌载体
pG-KJE8,大肠杆菌载体
pG-Tf2,大肠杆菌载体
pProEX HTc,大肠杆菌载体
pKG-fasG,大肠杆菌载体
pBI Tet,大肠杆菌载体
pINIII-ompA,大肠杆菌载体
pTrxFus,大肠杆菌载体
PLPP-ompA,大肠杆菌载体
pDrive,大肠杆菌载体
pET22b-EBFP,大肠杆菌载体
pLac-EGFP,大肠杆菌载体
pT7-His,大肠杆菌载体
pET-28a-mCherry,大肠杆菌载体
pET28a-ECFP,大肠杆菌载体
pBL1,大肠杆菌载体
pGP704,大肠杆菌载体
pET-9a,大肠杆菌载体
pET-3c,大肠杆菌载体
pT7ts,大肠杆菌载体
pBluescript II KS(+),大肠杆菌载体
TAGZyme pQE-2,大肠杆菌载体
pET-Trx,大肠杆菌载体
pET-3d(+),大肠杆菌载体
pET-17b,大肠杆菌载体
pFV17,大肠杆菌载体
pWB254b,大肠杆菌载体
pRG5,大肠杆菌载体
pGH101,大肠杆菌载体
pCR2.1-TOPO vector+55-5,大肠杆菌载体
pBCJ164.3,大肠杆菌载体
pCR14-18,大肠杆菌载体
pCR10j-3,大肠杆菌载体
pCRMj-2,大肠杆菌载体
